business id,categories
duHFBe87uNSXImQmvBh87Q,"['Sandwiches', 'Restaurants']"
SDMRxmcKPNt1AHPBKqO64Q,"['Burgers', 'Bars', 'Restaurants', 'Sports Bars', 'Nightlife', 'American (Traditional)']"
iFEiMJoEqyB9O8OUNSdLzA,"['Chinese', 'Restaurants']"
HmI9nhgOkrXlUr6KZGZZew,"['Sandwiches', 'Restaurants', 'Italian', 'Diners', 'Breakfast & Brunch', 'Mexican']"
qnpvw-uQyRn9nlClWFK9aA,"['Chicken Wings', 'Restaurants']"
vvB8ebrUsjfNqwWjk4G4OQ,"['Pubs', 'Nightlife', 'Bars']"
TXiEgINSZ75d3EtvLvkc4Q,"['Restaurants', 'Seafood', 'American (Traditional)']"
reWc1g65PNZnKz_Ub9QKOQ,"['Comfort Food', 'Canadian (New)', 'Restaurants', 'Bars', 'Nightlife', 'American (Traditional)']"
PV9CdNFDOX4_zWm3Sy3W8g,"['Burgers', 'Chicken Wings', 'Bars', 'Restaurants', 'American (Traditional)', 'Nightlife']"
qim0lD112TkDhm8ZyQlRnA,"['Pubs', 'Restaurants', 'Bars', 'Irish', 'Nightlife']"
HRFJlSAP_EBU_MpPPmpUDQ,"['Chicken Wings', 'Sandwiches', 'Restaurants', 'Pizza']"
FLTbKRmBytP1AbjWSPEeyw,"['Restaurants', 'Chinese']"
1AxEmgv8Dsr3iU9Aa40jPw,"['Nightlife', 'Restaurants', 'Bars']"
LLNmo66wO1xoi-yma1HybA,"['Bars', 'Pubs', 'Nightlife', 'Food']"
Wf5C8Amv_SlhoYE3_W66WQ,"['Asian Fusion', 'Restaurants', 'Sushi Bars']"
58APdML-PG_OD4El2ePTvw,"['Restaurants', 'Specialty Food', 'French', 'Breakfast & Brunch', 'Food', 'Delicatessen']"
Z1r6b30Tg0n0ME4-Zj2wQQ,"['American (Traditional)', 'Restaurants', 'Bars', 'Pubs', 'Beer', 'Wine & Spirits', 'Food', 'Nightlife']"
-2q4dnUw0gGJniGW2aPamQ,"['Restaurants', 'Mexican']"
LDMCrFlGIFUN6L-FEFgzWg,"['Restaurants', 'American (Traditional)', 'Mexican', 'Fast Food']"
cBHMUESPj4SNs65Xv6xWRA,"['Food', 'Shopping', 'Grocery', 'Delis', 'Gift Shops', 'Coffee & Tea', 'Flowers & Gifts', 'Restaurants']"
uG4YxC4OA0bg6S_Yko2pMg,"['Food', 'Donuts']"
v86J4q6ATA2ANm1fc7yCNg,"['Nightlife', 'Lounges', 'Beer', 'Wine & Spirits', 'Bars', 'Food']"
QTH_XGh4rWYdd0fTW-tUDw,"['Mexican', 'Restaurants']"
01xXe2m_z048W5gcBFpoJA,"['American (New)', 'Burgers', 'Fast Food', 'Restaurants']"
BwNZaPoqjHYK4RMqAxSeCw,"['Bars', 'Nightlife']"
fl2TPNWrchkCbNEg0utjvw,"['Diners', 'Breakfast & Brunch', 'Burgers', 'American (New)', 'Ice Cream & Frozen Yogurt', 'Fast Food', 'Restaurants', 'Food']"
MKT77UstJ5PAWyLNTuWujQ,"['Bakeries', 'Desserts', 'Cupcakes', 'Food']"
b5VIe-VnkOOwiwkjGw071A,"['Chinese', 'Restaurants']"
DiA78qPtp6rfRNdomzjBbw,"['Chinese', 'Food', 'Convenience Stores', 'Restaurants']"
d2fkRF67jiASrXxHfbmJuA,"['Restaurants', 'Chinese']"
wsyNO9Ac4gqGYTBfNeM1VA,"['Mexican', 'Restaurants']"
lhryYODlAmzQLZGkwmZ8wA,"['Fast Food', 'Chinese', 'Restaurants']"
JA-WeSdtaFagoI6doN0Sbw,"['Ice Cream & Frozen Yogurt', 'Food', 'Cupcakes']"
YTqtM2WFhcMZGeAGA08Cfg,"['Seafood', 'Restaurants', 'Specialty Food', 'Ethnic Food', 'Food', 'Mexican']"
8gzRJEmYJGTCdahRKcafXw,"['Restaurants', 'Food', 'Tea Rooms', 'Chinese']"
FQCKnbmIPlg2NNq4KBSBzg,"['Shaved Ice', 'Food', 'Desserts', 'Ice Cream & Frozen Yogurt', 'Juice Bars & Smoothies']"
Oto60yDwk1z72WmfWEYrjg,"['Food', 'Restaurants', 'Mexican']"
5GJ60TyviQnyg2257CAGuA,"['Restaurants', 'Waffles', 'Sandwiches', 'Delis']"
7HFRdxVttyY9GiMpywhhYw,"['Pizza', 'Caterers', 'Italian', 'Wraps', 'Event Planning & Services', 'Restaurants']"
0u2xwNy07-z3gv0tpuJX2Q,"['Fast Food', 'Restaurants', 'Sandwiches']"
Q4go7pt_ygwzXLME7kW10Q,"['Bars', 'Pubs', 'Restaurants', 'Nightlife']"
XuLXX5B5W1P-iNpgXmqmjQ,"['Fast Food', 'Sandwiches', 'Restaurants']"
SRg6VOJLidr8Pw-ImaalQg,"['Juice Bars & Smoothies', 'Food', 'Vegetarian', 'Restaurants']"
sIZm6SbTVueFfswzo-a0hg,"['Tex-Mex', 'Mexican', 'Restaurants']"
WogsxjRhg-HptXIPGkWMfw,"['Beer', 'Wine & Spirits', 'Food', 'Swabian', 'Bars', 'Wine Bars', 'Restaurants', 'Nightlife']"
kLw_FmSiEqYH-MtFhDIUFQ,"['Cajun/Creole', 'Restaurants', 'Seafood']"
uYYXLcDNQhgUIQcfauaKrw,"['Sandwiches', 'Restaurants']"
KXl2k4LkrmnHRTTAY-TVDQ,"['Restaurants', 'Asian Fusion', 'Indian']"
y9cMrm4_ZSsbH00NATButQ,"['Caterers', 'Chicken Wings', 'Restaurants', 'Event Planning & Services']"
lXcxSdPa2m__LqhsaL9t9A,"['Restaurants', 'Sandwiches', 'Delis', 'Fast Food']"
8Rdz0VPY8CuT2GQZ7ho2sw,"['Restaurants', 'Japanese', 'Sushi Bars']"
DAMTCTsSeACXbkSABkhZqQ,"['Pizza', 'Sandwiches', 'Restaurants']"
Pawavw9U8rjxWVPU-RB7LA,"['Chinese', 'Restaurants']"
0e-j5VcEn54EZT-FKCUZdw,"['Sushi Bars', 'Restaurants', 'Japanese', 'Korean']"
aP2Ma-Wx2lydppntCGhNSg,"['Mexican', 'Restaurants', 'Barbeque']"
rjGL3G1dBQfkrQJgitMCaw,"['Restaurants', 'Cafes']"
BCzZbgOjJFexYbGfSd6UZg,"['Burgers', 'Restaurants', 'Hot Dogs']"
sQtuhDHk4RhA2lJwOxY8hQ,"['Restaurants', 'Sushi Bars']"
g6ezOwLIRXGzWVbyTZL_DA,"['Dance Clubs', 'Bars', 'Sports Bars', 'Event Planning & Services', 'Karaoke', 'Comedy Clubs', 'Nightlife', 'DJs']"
er56AAp9r8mEJBAhaG02Xg,"['Bars', 'Lounges', 'Cajun/Creole', 'Caribbean', 'American (New)', 'Nightlife', 'Restaurants']"
TeUlBlNYodKBtcL-zc-4pA,"['Restaurants', 'French']"
1zbleOExOpyEA525GbRyqA,"['Pubs', 'Nightlife', 'Bars']"
Uyh4JZ0T3nbpBWzm1xrABw,"['Barbeque', 'Restaurants']"
1CP8aJa8ILlfM5deroar0Q,"['Chicken Wings', 'American (New)', 'Restaurants']"
#NAME?,"['Restaurants', 'Chinese']"
jNbFKHT7j4XIxCsuKRC8WQ,"['Bars', 'Restaurants', 'Barbeque', 'Beer Bar', 'Nightlife']"
gduTP-ujJ89tWOSdb3WMPA,"['Donuts', 'Food']"
N-FKBizx_wu3L8mvDPfYGw,"['Ice Cream & Frozen Yogurt', 'Desserts', 'Food']"
sQ6DZZLLJRfwUr0eDWKDDg,"['Chinese', 'Restaurants', 'Asian Fusion']"
KBDRpZkCVJ5N_GSMIk4kPg,"['Burgers', 'Fast Food', 'Restaurants']"
