business id,stars
duHFBe87uNSXImQmvBh87Q,5
SDMRxmcKPNt1AHPBKqO64Q,1
iFEiMJoEqyB9O8OUNSdLzA,3
HmI9nhgOkrXlUr6KZGZZew,3
qnpvw-uQyRn9nlClWFK9aA,1
vvB8ebrUsjfNqwWjk4G4OQ,3
TXiEgINSZ75d3EtvLvkc4Q,4
reWc1g65PNZnKz_Ub9QKOQ,3
PV9CdNFDOX4_zWm3Sy3W8g,3
qim0lD112TkDhm8ZyQlRnA,4
HRFJlSAP_EBU_MpPPmpUDQ,1
FLTbKRmBytP1AbjWSPEeyw,4
1AxEmgv8Dsr3iU9Aa40jPw,4
LLNmo66wO1xoi-yma1HybA,3
Wf5C8Amv_SlhoYE3_W66WQ,2
58APdML-PG_OD4El2ePTvw,4
Z1r6b30Tg0n0ME4-Zj2wQQ,4
-2q4dnUw0gGJniGW2aPamQ,1
LDMCrFlGIFUN6L-FEFgzWg,1
cBHMUESPj4SNs65Xv6xWRA,5
uG4YxC4OA0bg6S_Yko2pMg,1
v86J4q6ATA2ANm1fc7yCNg,5
QTH_XGh4rWYdd0fTW-tUDw,3
01xXe2m_z048W5gcBFpoJA,5
BwNZaPoqjHYK4RMqAxSeCw,4
fl2TPNWrchkCbNEg0utjvw,5
MKT77UstJ5PAWyLNTuWujQ,1
b5VIe-VnkOOwiwkjGw071A,4
DiA78qPtp6rfRNdomzjBbw,4
d2fkRF67jiASrXxHfbmJuA,3
wsyNO9Ac4gqGYTBfNeM1VA,4
lhryYODlAmzQLZGkwmZ8wA,5
JA-WeSdtaFagoI6doN0Sbw,5
YTqtM2WFhcMZGeAGA08Cfg,5
8gzRJEmYJGTCdahRKcafXw,3
FQCKnbmIPlg2NNq4KBSBzg,4
Oto60yDwk1z72WmfWEYrjg,2
5GJ60TyviQnyg2257CAGuA,5
7HFRdxVttyY9GiMpywhhYw,4
0u2xwNy07-z3gv0tpuJX2Q,4
Q4go7pt_ygwzXLME7kW10Q,1
XuLXX5B5W1P-iNpgXmqmjQ,2
SRg6VOJLidr8Pw-ImaalQg,5
sIZm6SbTVueFfswzo-a0hg,3
WogsxjRhg-HptXIPGkWMfw,4
kLw_FmSiEqYH-MtFhDIUFQ,5
uYYXLcDNQhgUIQcfauaKrw,2
KXl2k4LkrmnHRTTAY-TVDQ,1
y9cMrm4_ZSsbH00NATButQ,5
lXcxSdPa2m__LqhsaL9t9A,2
8Rdz0VPY8CuT2GQZ7ho2sw,5
DAMTCTsSeACXbkSABkhZqQ,2
Pawavw9U8rjxWVPU-RB7LA,4
0e-j5VcEn54EZT-FKCUZdw,4
aP2Ma-Wx2lydppntCGhNSg,2
rjGL3G1dBQfkrQJgitMCaw,5
BCzZbgOjJFexYbGfSd6UZg,1
sQtuhDHk4RhA2lJwOxY8hQ,2
g6ezOwLIRXGzWVbyTZL_DA,5
er56AAp9r8mEJBAhaG02Xg,4
TeUlBlNYodKBtcL-zc-4pA,5
1zbleOExOpyEA525GbRyqA,4
Uyh4JZ0T3nbpBWzm1xrABw,1
1CP8aJa8ILlfM5deroar0Q,4
#NAME?,2
jNbFKHT7j4XIxCsuKRC8WQ,5
gduTP-ujJ89tWOSdb3WMPA,4
N-FKBizx_wu3L8mvDPfYGw,4
sQ6DZZLLJRfwUr0eDWKDDg,4
KBDRpZkCVJ5N_GSMIk4kPg,4
MqhxKfI7oMjUTMqH2gnhyg,1
gQ93Na9yBJghX8HzH7smwQ,5
_wnAPt7ehpybzQptYKNHxQ,4
TYGVaav4hWZioQlk9Ig78A,5
EUgHFeAvock2Ut3iWPlG8Q,1
Wbi-x-1Nbn6LFCMOSN6F5Q,1
U2a9GUewP6LyOilaQhue9g,5
vEsAPc0fEDP1YPeSQanxfQ,1
5sTFevXhGx01eLT4wF7Urg,3
W-3Sy3fy85mQdd0ZNFKIiw,1
AKvX--qsEbh6jKJnGg0OWw,5
bGSVy6nFFzpRMERVta3JiQ,4
RnWZegos0nAjpPV00PPxBw,1
IxU1xb7j8SM9WPghWWlE_Q,5
TqAXKLF1P5XAIG9Uq2eUmQ,5
nJ71XaqT27UzIIzSQDHqOw,3
EjaTArl3ofSeqpDdpGmdCg,5
wM8QNs7uSyDqMJKjBYFPCQ,3
Lazn_BTkm14Fw82EE_oUgQ,1
YHXczxm4W3BkGT-z7vZBBw,2
bwZqlLj8oYaML3ndlybeDg,5
GhGYQ5WI4LdH53591fUMMA,1
TG-5UF3tHSP9xSq5L6b1Zg,1
rihKlAiPgJa5XcpZ1h9-bw,1
_1Kfr84GDMEjfWdvL0BBRw,4
fNV-Fd_bNmny8RrHCRWKMQ,4
TRgT7-WCdqKZWzMshEzk9g,3
q_IcpNBbM9zZswlIS-hEGg,3
0kyhbUW6NkpYjJzFBZ64vQ,1
iBH1TeUrJn1VuL59J1StUg,4
dXoeLzpG72P7F2Lwa01riQ,4
2rcrwnlPd_w5oieGVyDgpw,4
NMw6zTXoZDEzNchVIfL1pQ,5
1Ds8V2c7LlwSAA3O-9f4cA,1
iQ6ydwCOKHlz8BPpJpj2Zg,4
Z7nGSKvjmHNRkXtoMxA3Jw,1
L4PI4kh8plShtrcWt6aBTQ,1
eA8RJa5U2Ep8Ks3ECE6xfA,2
cdX8lf5BsJjpC82dzgtBZA,5
Ty6v7AjBylVyAGHPQYRYwA,1
tM_MMrMFwf5rJv9rbu4NQQ,5
PY5Y_9-7S-MorAo_Cgqu-Q,3
Q2bnRzJ8AC-3lWyQY8DZqA,2
YFEwCxc-9WRRVGgRv_-p7Q,2
LPca2wc7lQ7xm7az4KMBrA,3
vjLgZg0DH_9xwcujFNb0pA,1
hupeXWY97YCwZQYC79F6hQ,3
rtcWSNA3HVehrnUDVphYoA,1
0kzPQQL8wVcHlBQzMdRdWQ,3
vb9T0nyp3BJEb6Ec_DCtOg,5
5TXQxcwEfqzBDbMq2zmBPQ,5
ZKSivkZcnH-nfqcIS8PUWA,4
O3OH5IEFMPtz7mPKakPZ3Q,3
8bskEwLJsPe2X3Avixab-Q,5
veU3mhOn8kF87VfE_JvKlg,2
YGU2RnqsJO7Izs1GLDhMLQ,3
whAwdYVty-jSNRhrYT2zHA,4
cnXyideAGnrIjKjLjOZcHA,5
puPY7gVy7RCz8bK1zkzdoQ,5
u5Xa3N90_jhbBGKU2e4Y3w,5
gpivFNirREOyEAwxVebR5g,5
QMabpBYQ2qAh16GPbCvMrA,5
VobZRj98tDH7AaojYJD8Jg,5
1N6_FgS6nq5eT_3x4MXm4A,5
xK4ZY4t88g9LD_SHMaQ3VA,4
8n4dyb1m1BwHltydpH-Qhg,1
f4KJOcNMUSDGKvqm68CRiA,5
qy2uJwO1D8pT96SwGY3ubg,1
Z573XZf-CR1X_Kw7-eKJhg,4
ujcbqs6jZfaESgSLvbjWuQ,5
Dwj3s0jTQM7-r8joZSe2sw,5
1_y5e1u-o93EKOigXgR3LQ,3
VUb97h3RTg6InKdfgB49Bw,4
s4fufXCHoTCe_US1ZJS1CA,5
F6Ujpp1Kh7L_3uUfoUsTlw,5
hMe7hiCo90jnMXyzmPnO6Q,2
V80NaT5ZnfuA31yW3Y5Pdg,5
ExoqgA3aAz6bYidI0DSQvw,5
37kk0IW6jL7ZlxZF6k2QBg,5
U9hNGJFMh5vZsLMZQNellw,3
8cusyHsqMhNAsrNSMpzB1A,5
sGrDfqumgsYF3AhOn0AKcg,1
0WBMEfqXQnEOAIkV-uCW6w,4
Y2ySw4qMHgjd1T_2Zt9Eeg,4
sUzvletCYiIaZD_hbnNLEA,3
XvhSYgpJx6mc5MycXac-Iw,1
eS76100l3h7Ollb5s3_M4A,5
atNuup_649IY1B1L1vTkow,2
rVVEKv3F6ZzvA-FcorhzvQ,2
DtuC7O4Aw63gPnG0eCxGKQ,3
G0EJjh-dqJBmSEhQRog-hQ,5
o-4US-ls34JMq3nPSkw1WA,4
i-zvRNJ-KSG-sfdAzwImQQ,4
7fq6fN58ogXAzXzxywFX1Q,5
ua6EalI7V0a0ZogIIrKAbw,3
9ya1n6alTOPR2soRazQlDA,5
gKXsFVhWyK7MLQhSKG5_mA,2
r5PLDU-4mSbde5XekTXSCA,3
T96EG2iK3ZSv9ACiSFw4cw,2
BCBLDV5sxvOebPRswPFFgA,1
JM9LVlM_o3k_CbCErIQYAg,4
NM3iiGNrwoyNKWXiRT-nKA,1
9Cq_NVvWZOEAzmE7tqJgmg,1
wwlf_5HhLkqCpLHkci-ufw,3
h23R_mGy3ZdKlOYj57bheQ,4
hQ8JN52MjxbMUPfuhyL7jQ,2
x2nItJPCZxEobThRyDg6HQ,3
XjbPr3o-YTsticeavLjTEg,3
n8GCGa5gX17Ibix5VsGMuw,1
PLa2EQ60fVpHoxJC5UmQ-A,3
taQyhYtNzD4vujSvP3CDkQ,4
Jk2XwkySutg0glHVcv1_Pw,1
hJJm0DFmG57zwSeNkeIuRQ,1
rN3gHTjqx5sOnoUpJ-6jyg,5
Y22IfhXChXoRp3vKi6QwaQ,4
eCJDiRPoSuA0bsb7F1gNUA,4
MhINNBBwzGn4-n_YI67wog,2
Q1LrCiy0D6uqliWKe-BxtQ,4
L4ivYHVCDpIE0SrPaCn0LA,4
gqGrMnDYEToXOYajBuEvKQ,1
kLVK8y8YQeRkJeld5eZbwg,3
5IWOWl4Kn-1Ss9zLPrj1aA,1
dD6JQo5tCNtOtauaLaT0sg,5
Us7Oe7hwI3J9rJ2TZs8gSw,4
WKTZk-2cH780mJGnJswwHQ,1
rxA9c0_XObabVL1WCTA4FA,4
REJPrXEZly4PDQNmiMGI8Q,4
CYFfha5CmApflbpN1AhWHQ,2
4hG2j_ibsNblDgqei05U_g,5
sPd9YmvS6eSWzTvqowcBXA,5
g-aAe8SqZlZTnN3oA8mNlw,1
vrpW_ZIjHvsAX3ByyeHjCA,4
JXYeMN_VyIZyrveANnIVpA,4
q1DPrSrM1cbdTnUONdkwpw,3
-2bYV9zVtn2F5XpiAaHt5A,4
2skQeu3C36VCiB653MIfrw,3
EVe1uRxc6qBdvd9lTWSH4g,1
epoEBSCz3Mh4X-vVvcioNA,5
3SQU0IgQ6mbV0buzH9XAZA,5
xSZQa9ez44TJ0tiVHSY1Mw,2
_3o05Wdjfc8jOvGZ_q177Q,2
0gWg-kqRLEQbhui8b_v2Xw,5
AyXxQqNAeToBTL-M5TWWxA,4
UPqUPTwy5BagQyCWYrJ44g,2
AqWBhU6SM7n6iY_q6o46Tw,5
bGWI4ukY0PlnXzKICDZdGA,3
v4qyBRpTBvOO55M4IAqNNg,4
892U_SGiBR8UODoxczxvIA,5
KMAC_44vOPCVH-E_doOisQ,4
7UgP42G-5gtqlzfBtDuIAA,2
UkqdcwYv6_c-yW1JPCKlUA,1
NoDhna4BsDhcl7xRPmZJzQ,4
lKjyr4t7_5J9OtSrigWgEg,5
K-uQkfSUTwu5LIwPB4b_vg,4
fN7ds9Dk4IfMsh4RT9x82w,5
